ENS_ID,gene,value
ENSG00000000460,C1orf112,5.264294857394758
ENSG00000001084,GCLC,11.328789734021198
ENSG00000001497,LAS1L,11.233168494955885
ENSG00000001617,SEMA3F,11.262116587995548
ENSG00000002016,RAD52,9.059879655871669
ENSG00000002549,LAP3,12.179218469491879
ENSG00000002726,AOC1,13.997253373525776
ENSG00000002745,WNT16,0.9290213840269913
ENSG00000002746,HECW1,11.692428857856973
ENSG00000002933,TMEM176A,12.784626981907685
ENSG00000003137,CYP26B1,11.438139511475473
ENSG00000003147,ICA1,9.12775533476847
ENSG00000003400,CASP10,10.742662209374943
ENSG00000003402,CFLAR,14.695651691522398
ENSG00000003436,TFPI,12.268856728716246
ENSG00000003756,RBM5,12.927980069070637
ENSG00000003987,MTMR7,5.20843514147516
ENSG00000004059,ARF5,11.68227946093807
ENSG00000004487,KDM1A,11.737842743602465
ENSG00000004777,ARHGAP33,9.351878637637123
ENSG00000004799,PDK4,11.288238783262651
ENSG00000004809,SLC22A16,1.8602944581610485
ENSG00000004939,SLC4A1,12.815738431169791
ENSG00000004948,CALCR,7.84338513785978
ENSG00000004975,DVL2,11.197776438816174
ENSG00000005001,PRSS22,9.823590291033797
ENSG00000005022,SLC25A5,12.900308184516685
ENSG00000005073,HOXA11,8.132329440210635
ENSG00000005102,MEOX1,3.956566139783712
ENSG00000005108,THSD7A,12.756155872749831
ENSG00000005156,LIG3,11.152682114691583
ENSG00000005187,ACSM3,10.45069432049154
ENSG00000005189,REXO5,6.963825514110502
ENSG00000005302,MSL3,9.213717320046122
ENSG00000005339,CREBBP,13.309957294315197
ENSG00000005448,WDR54,8.825573805200769
ENSG00000005471,ABCB4,5.653736650180343
ENSG00000005513,SOX8,6.6209302230708245
ENSG00000005812,FBXL3,11.624548187448053
ENSG00000005882,PDK2,12.534782100650212
ENSG00000005893,LAMP2,12.184105170995162
ENSG00000005981,ASB4,2.2419854453148407
ENSG00000006015,REX1BD,11.689930121194443
ENSG00000006016,CRLF1,6.10173952399883
ENSG00000006042,TMEM98,10.815544420002505
ENSG00000006062,MAP3K14,11.830629217776192
ENSG00000006071,ABCC8,5.854028762035311
ENSG00000006118,TMEM132A,11.198512118492234
ENSG00000006210,CX3CL1,13.163855937771194
ENSG00000006283,CACNA1G,5.218773350494897
ENSG00000006327,TNFRSF12A,11.923162891753282
ENSG00000006451,RALA,9.495210930829845
ENSG00000006468,ETV1,6.902326829425025
ENSG00000006534,ALDH3B1,11.396813724558738
ENSG00000006555,TTC22,11.319576278879218
ENSG00000006611,USH1C,12.365681326492668
ENSG00000006634,DBF4,5.723558358741865
ENSG00000006638,TBXA2R,8.9940943966847
ENSG00000006704,GTF2IRD1,11.632221161297153
ENSG00000006740,ARHGAP44,10.628082766846067
ENSG00000006747,SCIN,13.197012867447949
ENSG00000006756,ARSD,13.620841118747641
ENSG00000006788,MYH13,0.8689019267878911
ENSG00000007001,UPP2,8.768265259152171
ENSG00000007216,SLC13A2,11.122082897857082
ENSG00000007237,GAS7,9.628457180169782
ENSG00000007255,TRAPPC6A,11.524638081451368
ENSG00000007312,CD79B,7.0016528227105095
ENSG00000007350,TKTL1,1.8122594976993744
ENSG00000007402,CACNA2D2,9.153390518614371
ENSG00000007516,BAIAP3,10.844986639671125
ENSG00000007541,PIGQ,12.958096377121095
ENSG00000007866,TEAD3,11.066640342485549
ENSG00000007908,SELE,7.1418285950932265
ENSG00000007923,DNAJC11,12.6995480317029
ENSG00000007933,FMO3,5.872723769687194
ENSG00000007968,E2F2,5.459107032260521
ENSG00000008056,SYN1,3.605894570297381
ENSG00000008083,JARID2,11.5902564344758
ENSG00000008196,TFAP2B,10.29000824651841
ENSG00000008256,CYTH3,10.976644108497482
ENSG00000008283,CYB561,12.012905538401862
ENSG00000008294,SPAG9,14.333970514825772
ENSG00000008300,CELSR3,6.83217805450447
ENSG00000008394,MGST1,7.348893856714363
ENSG00000008513,ST3GAL1,13.716362897372624
ENSG00000008516,MMP25,6.324754497747257
ENSG00000008517,IL32,12.654083313511624
ENSG00000008838,MED24,11.597278050654243
ENSG00000008988,RPS20,13.575850558244051
ENSG00000009413,REV3L,10.871317572911417
ENSG00000009709,PAX7,0.10092210882805491
ENSG00000009724,MASP2,0.2425578541000335
ENSG00000009765,IYD,11.818044140682401
ENSG00000009780,FAM76A,9.956558817860111
